batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,batchElapsedMs
17,4,8,37.176,SUCCESS,,96.441
17,5,8,63.438,SUCCESS,,96.441
17,6,8,81.556,SUCCESS,,96.441
17,7,8,96.093,SUCCESS,,96.441
18,0,8,38.758,SUCCESS,,111.924
18,1,8,111.747,BUSINESS_REJECTION,BidAmountTooLowException,111.924
18,2,8,78.134,BUSINESS_REJECTION,BidAmountTooLowException,111.924
18,3,8,71.169,BUSINESS_REJECTION,BidAmountTooLowException,111.924
18,4,8,62.902,SUCCESS,,111.924
18,5,8,104.947,BUSINESS_REJECTION,BidAmountTooLowException,111.924
18,6,8,98.382,BUSINESS_REJECTION,BidAmountTooLowException,111.924
18,7,8,91.102,SUCCESS,,111.924
19,0,8,27.104,SUCCESS,,92.506
19,1,8,46.809,BUSINESS_REJECTION,BidAmountTooLowException,92.506
19,2,8,86.700,BUSINESS_REJECTION,BidAmountTooLowException,92.506
19,3,8,67.407,BUSINESS_REJECTION,BidAmountTooLowException,92.506
19,4,8,40.252,SUCCESS,,92.506
19,5,8,59.896,SUCCESS,,92.506
19,6,8,92.313,BUSINESS_REJECTION,BidAmountTooLowException,92.506
19,7,8,80.052,SUCCESS,,92.506
20,0,8,29.318,BUSINESS_REJECTION,BidAmountTooLowException,70.166
20,1,8,22.838,SUCCESS,,70.166
20,2,8,70.108,BUSINESS_REJECTION,BidAmountTooLowException,70.166
20,3,8,59.455,BUSINESS_REJECTION,BidAmountTooLowException,70.166
20,4,8,64.729,BUSINESS_REJECTION,BidAmountTooLowException,70.166
20,5,8,47.839,BUSINESS_REJECTION,BidAmountTooLowException,70.166
20,6,8,54.122,BUSINESS_REJECTION,BidAmountTooLowException,70.166
20,7,8,41.424,SUCCESS,,70.166
21,0,8,87.822,BUSINESS_REJECTION,BidAmountTooLowException,87.873
21,1,8,53.406,BUSINESS_REJECTION,BidAmountTooLowException,87.873
21,2,8,74.205,BUSINESS_REJECTION,BidAmountTooLowException,87.873
21,3,8,46.608,BUSINESS_REJECTION,BidAmountTooLowException,87.873
21,4,8,80.678,BUSINESS_REJECTION,BidAmountTooLowException,87.873
21,5,8,39.094,BUSINESS_REJECTION,BidAmountTooLowException,87.873
21,6,8,30.533,SUCCESS,,87.873
21,7,8,66.257,SUCCESS,,87.873
22,0,8,63.780,BUSINESS_REJECTION,BidAmountTooLowException,73.347
22,1,8,58.687,BUSINESS_REJECTION,BidAmountTooLowException,73.347
22,2,8,27.987,BUSINESS_REJECTION,BidAmountTooLowException,73.347
22,3,8,73.259,BUSINESS_REJECTION,BidAmountTooLowException,73.347
22,4,8,67.823,BUSINESS_REJECTION,BidAmountTooLowException,73.347
22,5,8,20.029,SUCCESS,,73.347
22,6,8,40.241,SUCCESS,,73.347
22,7,8,51.541,SUCCESS,,73.347
23,0,8,35.748,BUSINESS_REJECTION,BidAmountTooLowException,87.675
