batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,batchElapsedMs
26,2,8,25.827,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.772
26,3,8,27.665,SUCCESS,,27.772
26,4,8,25.752,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.772
26,5,8,25.720,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.772
26,6,8,25.708,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.772
26,7,8,25.531,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.772
27,0,8,22.524,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.320
27,1,8,23.441,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.320
27,2,8,22.634,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.320
27,3,8,23.351,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.320
27,4,8,24.148,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.320
27,5,8,22.465,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.320
27,6,8,22.697,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,26.320
27,7,8,26.099,SUCCESS,,26.320
28,0,8,25.674,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,28.203
28,1,8,25.904,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,28.203
28,2,8,25.467,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,28.203
28,3,8,25.870,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,28.203
28,4,8,28.059,SUCCESS,,28.203
28,5,8,25.807,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,28.203
28,6,8,25.797,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,28.203
28,7,8,26.417,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,28.203
29,0,8,25.385,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.177
29,1,8,25.419,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.177
29,2,8,26.397,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.177
29,3,8,25.374,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.177
29,4,8,26.378,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.177
29,5,8,25.284,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.177
29,6,8,25.249,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.177
29,7,8,28.948,SUCCESS,,29.177
30,0,8,23.469,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.670
30,1,8,23.425,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.670
30,2,8,23.407,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.670
30,3,8,23.388,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.670
30,4,8,21.959,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.670
30,5,8,24.583,SUCCESS,,24.670
30,6,8,23.319,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.670
30,7,8,21.802,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.670
31,0,8,31.651,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.365
31,1,8,32.962,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.365
31,2,8,29.280,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.365
31,3,8,34.280,SUCCESS,,34.365
31,4,8,31.570,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.365
31,5,8,29.125,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.365
31,6,8,32.706,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.365
31,7,8,29.059,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,34.365
32,0,8,28.344,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.961
32,1,8,28.751,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.961
32,2,8,28.686,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.961
32,3,8,28.276,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.961
32,4,8,28.327,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.961
32,5,8,28.255,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.961
32,6,8,29.727,SUCCESS,,29.961
32,7,8,28.466,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,29.961
33,0,8,25.109,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.734
33,1,8,25.125,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.734
33,2,8,25.090,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.734
33,3,8,27.659,SUCCESS,,27.734
33,4,8,25.067,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.734
33,5,8,24.994,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.734
33,6,8,24.988,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.734
33,7,8,24.955,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.734
34,0,8,27.152,SUCCESS,,27.200
34,1,8,25.556,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.200
34,2,8,24.959,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.200
34,3,8,25.682,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.200
34,4,8,24.843,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.200
34,5,8,25.349,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.200
34,6,8,25.488,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.200
34,7,8,24.918,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.200
35,0,8,23.367,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.981
35,1,8,23.339,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.981
35,2,8,23.347,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.981
35,3,8,23.358,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.981
35,4,8,24.903,SUCCESS,,24.981
35,5,8,23.269,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.981
35,6,8,20.760,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.981
35,7,8,20.755,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,24.981
36,0,8,25.877,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.169
36,1,8,25.840,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.169
36,2,8,25.983,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.169
36,3,8,25.865,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.169
36,4,8,25.806,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.169
36,5,8,27.044,SUCCESS,,27.169
36,6,8,25.761,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.169
36,7,8,23.692,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.169
37,0,8,26.735,SUCCESS,,27.108
37,1,8,25.852,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.108
37,2,8,26.990,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.108
37,3,8,25.892,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.108
37,4,8,26.866,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.108
37,5,8,26.997,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.108
37,6,8,26.758,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.108
37,7,8,26.763,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.108
38,0,8,21.032,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,22.706
38,1,8,21.143,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,22.706
38,2,8,21.049,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,22.706
38,3,8,21.056,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,22.706
38,4,8,20.985,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,22.706
38,5,8,20.802,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,22.706
38,6,8,20.786,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,22.706
38,7,8,22.497,SUCCESS,,22.706
39,0,8,22.049,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,23.813
39,1,8,22.064,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,23.813
39,2,8,21.777,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,23.813
39,3,8,23.639,SUCCESS,,23.813
39,4,8,21.654,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,23.813
39,5,8,21.826,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,23.813
39,6,8,21.924,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,23.813
39,7,8,21.799,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,23.813
40,0,8,28.674,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,31.307
40,1,8,26.578,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,31.307
40,2,8,28.141,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,31.307
40,3,8,24.899,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,31.307
40,4,8,31.230,SUCCESS,,31.307
40,5,8,27.329,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,31.307
40,6,8,25.089,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,31.307
40,7,8,28.514,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,31.307
41,0,8,25.197,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,36.954
41,1,8,25.188,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,36.954
41,2,8,36.635,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,36.954
41,3,8,23.961,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,36.954
41,4,8,25.187,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,36.954
41,5,8,36.900,SUCCESS,,36.954
41,6,8,26.739,SUCCESS,,36.954
41,7,8,25.372,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,36.954
42,0,8,27.723,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.774
42,1,8,27.318,SUCCESS,,27.774
42,2,8,27.540,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.774
42,3,8,27.507,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.774
42,4,8,26.869,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.774
42,5,8,26.760,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.774
42,6,8,26.706,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.774
42,7,8,26.694,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.774
43,0,8,26.000,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.426
43,1,8,26.054,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.426
43,2,8,26.096,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.426
43,3,8,25.191,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.426
43,4,8,27.356,SUCCESS,,27.426
43,5,8,25.996,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.426
43,6,8,25.794,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.426
43,7,8,25.837,CONCURRENCY_DB_FAILURE,CannotAcquireLockException,27.426
