batch,requestIndex,concurrency,latencyMs,outcome,exceptionType,attemptsUsed,retryCount,conflictCount,exhausted,batchElapsedMs
17,7,8,36.425,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,40.508
18,0,8,25.108,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,29.647
18,1,8,25.622,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,29.647
18,2,8,29.589,SUCCESS,,1,0,0,false,29.647
18,3,8,25.082,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,29.647
18,4,8,26.163,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,29.647
18,5,8,23.720,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,29.647
18,6,8,26.184,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,29.647
18,7,8,24.121,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,29.647
19,0,8,34.083,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.962
19,1,8,33.981,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.962
19,2,8,33.947,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.962
19,3,8,39.892,SUCCESS,,1,0,0,false,39.962
19,4,8,34.011,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.962
19,5,8,33.931,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.962
19,6,8,34.003,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.962
19,7,8,33.907,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,39.962
20,0,8,34.710,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.146
20,1,8,35.287,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.146
20,2,8,42.988,SUCCESS,,1,0,0,false,43.146
20,3,8,34.667,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.146
20,4,8,34.703,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.146
20,5,8,34.643,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.146
20,6,8,34.644,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.146
20,7,8,35.167,UNEXPECTED_DB_FAILURE,CannotAcquireLockException,1,0,0,false,43.146
