target_id,브랜드,모델명,컬러웨이,한국 사이즈,KREAM 가격,가격 유형,상품 URL,상품명,수집일,상태,메모
SH-015,Nike,Dunk Low,Gray Fog,270,105000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 1시간 전
SH-015,Nike,Dunk Low,Gray Fog,295,92000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 2시간 전
SH-015,Nike,Dunk Low,Gray Fog,250,161000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 5시간 전
SH-015,Nike,Dunk Low,Gray Fog,290,95000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 6시간 전
SH-015,Nike,Dunk Low,Gray Fog,270,112000,체결 거래,https://kream.co.kr/products/41193,Nike Dunk Low Gray Fog,2026-05-21,DS,거래시점: 7시간 전
SH-002,Adidas,Samba OG,Cloud White Black,200(US 1.5),49000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 15시간 전
SH-002,Adidas,Samba OG,Cloud White Black,190(13K),50000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 26/05/15
SH-002,Adidas,Samba OG,Cloud White Black,200(US 1.5),49000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 26/05/13
SH-002,Adidas,Samba OG,Cloud White Black,200(US 1.5),49000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 26/05/12
SH-002,Adidas,Samba OG,Cloud White Black,210(US 2.5),49000,체결 거래,https://kream.co.kr/products/173757,Adidas Samba OG Cloud White Black,2026-05-21,DS,거래시점: 26/05/10
SH-003,New Balance,993,Gray,260,292000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 1시간 전
SH-003,New Balance,993,Gray,250,249000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 1시간 전
SH-003,New Balance,993,Gray,255,245000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 2시간 전
SH-003,New Balance,993,Gray,250,248000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 4시간 전
SH-003,New Balance,993,Gray,270,294000,체결 거래,https://kream.co.kr/products/23852,New Balance 993 Gray,2026-05-21,DS,거래시점: 4시간 전
AUTO-385971,Nike,Cortez,White Varsity Red,240,46000,체결 거래,https://kream.co.kr/products/385971,(W) 나이키 코르테즈 레더 화이트 바시티 레드,2026-08-21,DS,거래시점: 2026-08-20
AUTO-385971,Nike,Cortez,White Varsity Red,240,52000,체결 거래,https://kream.co.kr/products/385971,(W) 나이키 코르테즈 레더 화이트 바시티 레드,2026-08-21,DS,거래시점: 2026-08-20
AUTO-385971,Nike,Cortez,White Varsity Red,260,62000,체결 거래,https://kream.co.kr/products/385971,(W) 나이키 코르테즈 레더 화이트 바시티 레드,2026-08-21,DS,거래시점: 2026-08-20
AUTO-385971,Nike,Cortez,White Varsity Red,235,44000,체결 거래,https://kream.co.kr/products/385971,(W) 나이키 코르테즈 레더 화이트 바시티 레드,2026-08-21,DS,거래시점: 2026-08-20
AUTO-385971,Nike,Cortez,White Varsity Red,245,45000,체결 거래,https://kream.co.kr/products/385971,(W) 나이키 코르테즈 레더 화이트 바시티 레드,2026-08-21,DS,거래시점: 2026-08-20
AUTO-30987,Adidas,Superstar,White Black,245,156000,체결 거래,https://kream.co.kr/products/30987,아디다스 슈퍼스타 화이트 블랙,2026-09-03,DS,거래시점: 2026-09-03
AUTO-30987,Adidas,Superstar,White Black,220,78000,체결 거래,https://kream.co.kr/products/30987,아디다스 슈퍼스타 화이트 블랙,2026-09-03,DS,거래시점: 2026-09-03
AUTO-30987,Adidas,Superstar,White Black,220,77000,체결 거래,https://kream.co.kr/products/30987,아디다스 슈퍼스타 화이트 블랙,2026-09-03,DS,거래시점: 2026-09-03
AUTO-30987,Adidas,Superstar,White Black,260,139000,체결 거래,https://kream.co.kr/products/30987,아디다스 슈퍼스타 화이트 블랙,2026-09-03,DS,거래시점: 2026-09-02
AUTO-30987,Adidas,Superstar,White Black,275,124000,체결 거래,https://kream.co.kr/products/30987,아디다스 슈퍼스타 화이트 블랙,2026-09-03,DS,거래시점: 2026-09-01
AUTO-28260,New Balance,530,Steel Grey,270,103000,체결 거래,https://kream.co.kr/products/28260,뉴발란스 530 스틸 그레이,2026-09-03,DS,거래시점: 2026-09-03
AUTO-28260,New Balance,530,Steel Grey,275,95000,체결 거래,https://kream.co.kr/products/28260,뉴발란스 530 스틸 그레이,2026-09-03,DS,거래시점: 2026-09-03
AUTO-28260,New Balance,530,Steel Grey,250,95000,체결 거래,https://kream.co.kr/products/28260,뉴발란스 530 스틸 그레이,2026-09-03,DS,거래시점: 2026-09-03
AUTO-28260,New Balance,530,Steel Grey,240,92000,체결 거래,https://kream.co.kr/products/28260,뉴발란스 530 스틸 그레이,2026-09-03,DS,거래시점: 2026-09-03
AUTO-28260,New Balance,530,Steel Grey,255,96000,체결 거래,https://kream.co.kr/products/28260,뉴발란스 530 스틸 그레이,2026-09-03,DS,거래시점: 2026-09-03
